# run using: ./process_tape.sh Raisanen-8mm 8mm

# Format:|IDX|START|END|CROP_LEFT|RIGHT|TOP|BOTTOM|LABEL

## REEL ONE
01|00:00:08.108|00:12:33.319|26|10|8|8|BWCA

## REEL TWO
02|00:12:55.241|00:13:32.278|30|6|18|8|kids playing
03|00:13:32.412|00:13:46.359|30|6|18|8|flowers
04|00:13:46.492|00:14:03.843|30|6|18|8|kids playing
05|00:14:03.910|00:16:38.664|30|6|18|8|various family
06|00:16:38.731|00:19:42.048|30|6|18|8|trip to Duluth
07|00:19:44.116|00:20:32.131|30|6|18|8|at a fair
08|00:20:32.198|00:22:10.963|30|6|18|8|at the lake
09|00:22:11.030|00:22:33.485|30|6|18|8|flowers
10|00:22:33.552|00:23:44.023|30|6|18|8|building-sidewalk
11|00:23:44.223|00:23:46.158|30|6|18|8|flowers
12|00:23:46.225|00:23:48.894|30|6|18|8|woman in door
13|00:23:49.094|00:25:27.192|30|6|18|8|snow
14|00:25:27.259|00:26:22.948|30|6|18|8|various family

15|00:26:27.786|00:32:57.809|30|6|18|8|Christmas
16|00:32:57.943|00:33:19.431|30|6|18|8|Christmas tree
17|00:33:19.598|00:37:26.778|30|6|18|8|Christmas
18|00:37:26.978|00:37:48.633|30|6|18|8|Christmas tree
19|00:37:49.033|00:39:15.854|30|6|18|8|Christmas

## REEL 3
20|00:39:38.109|00:42:25.710|30|6|18|8|ice fishing
21|00:42:25.843|00:45:28.526|30|6|18|8|winter
22|00:45:28.659|00:45:50.047|30|6|18|8|yard work
23|00:45:50.915|00:46:40.097|30|6|18|8|kids and family

## REEL 4
24|00:46:40.164|00:47:15.499|30|6|18|8|Thomson Dam
25|00:47:15.566|00:48:13.524|30|6|18|8|kids and family
26|00:48:13.624|00:48:26.070|30|6|18|8|building site
27|00:48:26.137|00:50:05.335|30|6|18|8|baseball and field day
28|00:50:05.669|00:50:33.864|30|6|18|8|family outside
29|00:50:33.964|00:51:50.040|30|6|18|8|family holiday dinner
30|00:51:50.107|00:53:41.151|30|6|18|8|outside church
31|00:53:41.218|00:53:47.725|30|6|18|8|parade
32|00:53:53.731|00:55:13.811|30|6|18|8|travel
33|00:55:13.877|00:55:51.081|30|6|18|8|visiting family
34|00:55:51.181|00:57:08.592|30|6|18|8|boys playing basketball
35|00:57:08.625|00:57:13.630|30|6|18|8|on a dock
36|00:57:13.764|01:01:17.541|30|6|18|8|trip to Cities
37|01:01:17.574|01:02:06.690|30|6|18|8|baby walking

38|01:02:19.302|01:04:42.212|30|6|18|8|Esko parade
39|01:04:42.278|01:05:28.458|30|6|18|8|at a lake
40|01:05:28.525|01:06:41.364|30|6|18|8|family

41|01:06:45.742|01:08:28.104|30|6|18|8|parade
42|01:08:28.504|01:09:06.376|30|6|18|8|various
43|01:09:06.409|01:09:27.063|30|6|18|8|construction church
44|01:09:27.330|01:12:08.524|30|6|18|8|travel North Shore
45|01:12:08.658|01:12:48.264|30|6|18|8|ice fishing

# new reel
46|01:13:17.260|01:18:25.734|30|6|18|8|Christmas
47|01:18:25.901|01:20:12.341|30|6|18|8|family photos
48|01:20:12.608|01:21:10.099|30|6|18|8|fishing trip
49|01:21:10.132|01:21:32.888|30|6|18|8|Esko Baseball
50|01:21:33.021|01:22:29.678|30|6|18|8|Christmas
51|01:22:29.745|01:23:41.550|30|6|18|8|Prom
52|01:23:42.818|01:24:26.428|30|6|18|8|at the farm
53|01:24:27.229|01:27:01.049|30|6|18|8|fishing trip
54|01:27:01.149|01:28:02.744|30|6|18|8|kids in yard
55|01:28:03.011|01:28:15.257|30|6|18|8|talking in yard
56|01:28:15.791|01:29:05.073|30|6|18|8|leaving church
57|01:29:05.173|01:29:24.559|30|6|18|8|family at home
58|01:29:33.593|01:29:38.006|30|6|18|8|woman on sidewalk
59|01:29:38.173|01:32:33.303|30|6|18|8|wedding
