# Format:|IDX|START|END|CROP_LEFT|RIGHT|TOP|BOTTOM|LABEL|
01|00:00:02.350|00:00:51.189|12|24|0|8|Sandy in kitchen
02|00:00:51.225|00:02:41.737|12|24|0|8|Dale in garden
03|00:02:41.809|00:03:44.204|12|24|0|8|kids in kitchen
04|00:03:44.277|00:04:47.754|12|24|0|8|boys basketball
05|00:04:47.974|00:06:02.696|12|24|0|8|girls inside
06|00:06:02.841|00:07:17.130|12|24|0|8|family at table
07|00:18:12.234|00:19:13.304|12|24|0|8|around house
08|00:19:13.376|00:21:25.361|12|24|0|8|family
09|00:21:28.000|00:22:36.794|12|24|0|8|karate inside
10|00:22:37.770|00:24:48.924|12|24|0|8|karate outside
11|00:24:51.201|00:25:52.187|12|24|0|8|Arnold and Eva
12|00:25:52.259|00:26:36.724|12|24|0|8|reading with kids
13|00:26:36.869|00:28:36.599|12|24|0|8|Arnold and Eva
14|00:28:38.912|00:29:47.851|12|24|0|8|house and deck
15|00:29:47.959|00:30:41.136|12|24|0|8|planting window wells
16|00:30:41.317|00:35:47.438|12|24|0|8|at lake baseball
17|00:35:49.282|00:37:11.668|12|24|0|8|at lake grilling
18|00:37:11.813|00:37:35.528|12|24|0|8|at lake exterior
19|00:37:37.914|00:38:39.080|12|24|0|8|at lake baseball
20|00:38:39.261|00:39:03.228|12|24|0|8|at lake Mary
21|00:39:03.301|00:39:53.441|12|24|0|8|at lake worms
22|00:39:53.550|00:42:28.128|12|24|0|8|at lake fishing
23|00:42:42.661|00:43:27.270|12|24|0|8|at lake fishing
24|00:43:30.307|00:48:19.127|12|24|0|8|at lake in yard
25|00:48:19.654|00:56:16.441|12|24|0|8|at lake in yard
26|00:56:16.513|00:59:36.099|12|24|0|8|at lake baseball
27|00:59:38.449|01:01:51.880|12|24|0|8|at lake in yard
28|01:01:51.952|01:11:14.813|12|24|0|8|birthday party
29|01:11:17.271|01:17:47.261|12|24|0|8|dance in driveway
30|01:17:55.467|01:24:05.791|12|24|0|8|karate presentation
31|01:24:08.213|01:24:38.796|12|24|0|8|family in kitchen
32|01:24:38.869|01:26:14.306|12|24|0|8|kids inside
33|01:26:14.342|01:28:07.420|12|24|0|8|kids outside
34|01:28:07.456|01:36:10.244|12|24|0|8|family inside
35|01:36:12.666|01:39:04.705|12|24|0|8|at Stenman farm inside
36|01:39:04.778|01:43:49.425|12|24|0|8|at Stenman farm outside
37|01:43:49.534|01:55:09.811|12|24|0|8|family at table
38|01:55:12.341|02:02:12.501|12|24|0|8|dance recital
